season,celebrity,week,fan_votes,judge_score,eliminated
1,Evander Holyfield,1,437.66860485019566,18.0,False
1,Joey McIntyre,1,1061.1523750683607,20.0,False
1,John O'Hurley,1,2516.8088727094564,20.0,False
1,Kelly Monaco,1,2356.1067120571406,13.0,False
1,Rachel Hunter,1,2462.763757292308,20.0,False
1,Trista Sutter,1,1165.4996780225383,18.0,False
1,Evander Holyfield,2,1472.4447583206452,14.0,False
1,Joey McIntyre,2,1080.1015816089905,21.0,False
1,John O'Hurley,2,1453.3773773690132,26.0,False
1,Kelly Monaco,2,2691.069234695101,17.0,False
1,Rachel Hunter,2,2470.9238594681105,24.0,False
1,Trista Sutter,2,832.0831885381382,19.0,True
1,Evander Holyfield,3,1098.7287237458986,13.0,True
1,Joey McIntyre,3,1087.6750065166025,22.0,False
1,John O'Hurley,3,2207.037230605894,24.0,False
1,Kelly Monaco,3,3112.9730232837574,21.0,False
1,Rachel Hunter,3,2493.5860158478486,26.0,False
1,Joey McIntyre,4,2640.182675990132,20.0,False
1,John O'Hurley,4,2581.250730059507,21.0,False
1,Kelly Monaco,4,2544.183419338365,26.0,False
1,Rachel Hunter,4,2234.3831746119954,25.0,True
1,Joey McIntyre,5,2255.099973817336,22.5,False
1,John O'Hurley,5,3565.6445608789227,27.0,False
1,Kelly Monaco,5,4179.255465303741,23.5,False
1,John O'Hurley,6,4498.384337525006,27.0,False
1,Kelly Monaco,6,5501.615662474994,27.5,False
2,Drew Lachey,1,1966.916521220726,24.0,False
2,George Hamilton,1,1103.706780095026,18.0,False
2,Giselle Fernandez,1,1102.8408538644599,23.0,False
2,Jerry Rice,1,672.3051642837726,21.0,False
2,Kenny Mayne,1,147.00314168669703,13.0,True
2,Lisa Rinna,1,1056.2050978093268,19.0,False
2,Master P,1,269.3268610347442,12.0,False
2,Stacy Keibler,1,2004.5260475963375,22.0,False
2,Tatum O'Neal,1,708.9489620555728,23.0,False
2,Tia Carrere,1,968.2205703533359,20.0,False
2,Drew Lachey,2,2163.577018274636,27.0,False
2,George Hamilton,2,915.2023187336481,22.0,False
2,Giselle Fernandez,2,1046.1415170234973,24.0,False
2,Jerry Rice,2,546.5317621952664,23.0,False
2,Lisa Rinna,2,1205.112807823545,20.0,False
2,Master P,2,618.217818278929,16.0,False
2,Stacy Keibler,2,2026.4033852864745,29.0,False
2,Tatum O'Neal,2,517.9656341243927,17.0,True
2,Tia Carrere,2,960.8477382596104,22.0,False
2,Drew Lachey,3,2419.6561903524384,27.0,False
2,George Hamilton,3,833.9779047575904,22.0,False
2,Giselle Fernandez,3,792.9328708618007,22.0,True
2,Jerry Rice,3,1104.74895169539,19.0,False
2,Lisa Rinna,3,824.7955952153251,25.0,False
2,Master P,3,902.7128781228446,14.0,False
2,Stacy Keibler,3,2089.227648915127,27.0,False
2,Tia Carrere,3,1031.9479600794862,26.0,False
2,Drew Lachey,4,2736.584262149062,28.0,False
2,George Hamilton,4,808.9358898750401,21.0,False
2,Jerry Rice,4,964.2617614951495,24.0,False
2,Lisa Rinna,4,1230.5984984122128,26.0,False
2,Master P,4,565.6075437282583,8.0,True
2,Stacy Keibler,4,2506.814522449792,26.0,False
2,Tia Carrere,4,1187.197521890484,25.0,False
2,Drew Lachey,5,2955.8556905371065,27.0,False
2,George Hamilton,5,893.359943332232,24.0,False
2,Jerry Rice,5,936.1054625232987,23.0,False
2,Lisa Rinna,5,1401.8192931603062,25.0,False
2,Stacy Keibler,5,2904.8563163128965,30.0,False
2,Tia Carrere,5,908.0032941341595,22.0,True
2,Drew Lachey,6,3310.1364740083163,30.0,False
2,George Hamilton,6,898.7196035189861,23.0,True
2,Jerry Rice,6,961.4854000071873,23.0,False
2,Lisa Rinna,6,1567.3653171281385,27.0,False
2,Stacy Keibler,6,3262.2932053373725,30.0,False
2,Drew Lachey,7,3559.8600697458337,27.5,False
2,Jerry Rice,7,2211.149927037163,20.5,False
2,Lisa Rinna,7,2020.5741860095666,26.5,True
2,Stacy Keibler,7,2208.4158172074362,27.5,False
2,Drew Lachey,8,4301.580183498971,28.9998,False
2,Jerry Rice,8,2164.176871058284,26.666600000000003,False
2,Stacy Keibler,8,3534.2429454427447,28.6665,False
3,Emmitt Smith,1,1151.772138782457,24.0,False
3,Harry Hamlin,1,596.4701460526584,17.0,False
3,Jerry Springer,1,275.085944650769,16.0,False
3,Joey Lawrence,1,1355.4622849229258,21.0,False
3,Mario Lopez,1,1523.1392908371251,26.0,False
3,Monique Coleman,1,1379.1133715372023,19.0,False
3,Sara Evans,1,440.98959726009184,15.0,False
3,Shanna Moakler,1,662.5324320849317,18.0,False
3,Tucker Carlson,1,103.98830803900495,12.0,True
3,Vivica A. Fox,1,1261.5078534467589,22.0,False
3,Willa Ford,1,1249.9386323860756,22.0,False
3,Emmitt Smith,2,1265.8069962590669,24.0,False
3,Harry Hamlin,2,670.240662312674,21.0,False
3,Jerry Springer,2,342.85982814469577,19.0,False
3,Joey Lawrence,2,1444.5476945718246,29.0,False
3,Mario Lopez,2,1665.5745655926562,21.0,False
3,Monique Coleman,2,1454.1513416583346,26.0,False
3,Sara Evans,2,494.4228827689958,21.0,False
3,Shanna Moakler,2,1.0,22.0,True
3,Vivica A. Fox,2,1328.7161973954203,24.0,False
3,Willa Ford,2,1332.6798312963317,23.0,False
3,Emmitt Smith,3,1418.5601155300537,19.0,False
3,Harry Hamlin,3,1.0,22.0,True
3,Jerry Springer,3,388.4518876177537,21.0,False
3,Joey Lawrence,3,1533.1044889249795,22.0,False
3,Mario Lopez,3,1883.9651739867409,22.0,False
3,Monique Coleman,3,1504.0331767068783,27.0,False
3,Sara Evans,3,502.5308406158465,25.0,False
3,Vivica A. Fox,3,1368.167008368224,27.0,False
3,Willa Ford,3,1400.187308249523,22.0,False
3,Emmitt Smith,4,1724.7395825701167,24.0,False
3,Jerry Springer,4,523.6486442301748,22.0,False
3,Joey Lawrence,4,1733.0030691505267,27.0,False
3,Mario Lopez,4,2277.919684243534,29.0,False
3,Monique Coleman,4,1625.9762884019551,24.0,False
3,Sara Evans,4,570.5177064902336,20.0,False
