season,method,special,n_contestants,n_weeks,n_eliminations,consistency,repair_failed_weeks,smooth_iters
1,rank,False,6,6,3,1.0,0,12
2,rank,False,10,8,7,1.0,0,12
3,percent,False,11,10,8,1.0,0,12
4,percent,False,11,10,8,1.0,0,12
5,percent,False,12,10,9,1.0,0,12
6,percent,False,12,10,9,1.0,0,12
7,percent,False,13,10,10,1.0,0,12
8,percent,False,13,11,10,0.8888888888888888,0,12
9,percent,False,16,10,13,1.0,0,12
10,percent,False,11,10,8,0.875,0,12
11,percent,False,12,10,9,1.0,0,12
12,percent,False,11,10,8,1.0,0,12
13,percent,False,12,10,9,1.0,0,12
14,percent,False,12,10,9,1.0,0,12
15,percent,False,13,10,10,1.0,0,12
16,percent,False,12,10,9,1.0,0,12
17,percent,False,12,11,9,1.0,0,12
18,percent,False,12,10,9,1.0,0,12
19,percent,False,13,11,10,1.0,0,12
20,percent,False,12,10,9,1.0,0,12
21,percent,False,13,11,10,1.0,0,12
22,percent,False,12,10,9,1.0,0,12
23,percent,False,13,11,10,1.0,0,12
24,percent,False,12,10,9,1.0,0,12
25,percent,False,13,10,10,1.0,0,12
26,percent,False,10,4,7,1.0,0,12
27,percent,False,13,9,10,0.75,0,12
28,rank,True,12,11,9,1.0,0,12
29,rank,True,15,11,12,1.0,0,12
30,rank,True,15,10,12,1.0,0,12
31,rank,True,16,10,13,0.9,0,12
32,rank,True,14,11,11,1.0,0,12
33,rank,True,13,9,10,1.0,0,12
34,rank,True,14,11,11,1.0,0,12
