season,celebrity,week,fan_votes_mean,fan_votes_std,fan_votes_p05,fan_votes_p95,n_runs
1,Evander Holyfield,1,424.3292282075218,176.90630008828603,144.3708892346507,711.2634877179174,50
1,Evander Holyfield,2,1448.2561816244322,234.291624018564,1271.1989674964125,1666.8101825880883,50
1,Evander Holyfield,3,1103.56948966841,161.95446989997328,948.953991213002,1273.8670496414297,50
1,Joey McIntyre,1,1048.4746631510698,202.60885859684862,627.6389846311814,1304.7711547622707,50
1,Joey McIntyre,2,1056.023020419846,162.21874290070917,821.740041580359,1322.9261257195424,50
1,Joey McIntyre,3,1050.0698815662035,145.16766229960933,822.3815734352507,1283.2386076984305,50
1,Joey McIntyre,4,2402.5090502963308,710.7656964084224,773.3038579700709,2887.5218845678774,50
1,Joey McIntyre,5,2098.2258554604746,367.6320406764987,1269.629643981928,2387.918430340664,50
1,John O'Hurley,1,2535.3150363500395,159.33503320682635,2215.0838134351043,2742.4975362791265,50
1,John O'Hurley,2,2325.263789306314,536.0333088409857,1428.9469506599162,2918.9703114183376,50
1,John O'Hurley,3,2670.2475268272824,279.22408361133176,2169.0394419582194,3005.3597764650904,50
1,John O'Hurley,4,2747.3429614032643,196.68579411000604,2555.5842568503103,3200.272301189434,50
1,John O'Hurley,5,3627.610574093772,129.43167615645802,3455.3769266917157,3897.3371816441045,50
1,John O'Hurley,6,4499.953076637068,89.50567399606642,4351.525158736937,4619.917272103933,50
1,Kelly Monaco,1,2351.4542037891,202.73921714835564,2011.267033715732,2657.8620822514617,50
1,Kelly Monaco,2,2257.9981393401745,574.8992869681465,1336.8608461134024,2939.511533771383,50
1,Kelly Monaco,3,2903.1902745140683,304.6570373491428,2429.288755289868,3253.8347752673894,50
1,Kelly Monaco,4,2800.4165009733274,465.5529715610921,2472.791937436006,3903.1899912056765,50
1,Kelly Monaco,5,4274.163570445753,272.55204312828624,4026.44947282871,4913.130274498673,50
1,Kelly Monaco,6,5500.046923362932,89.50567399606642,5380.082727896066,5648.474841263063,50
1,Rachel Hunter,1,2473.9559711260385,189.24287097123872,2154.88000356382,2771.773401941049,50
1,Rachel Hunter,2,2033.126680419724,545.740968973598,1289.806338945624,2737.537975787928,50
1,Rachel Hunter,3,2272.922827424036,298.6536303088371,1818.8879079775302,2701.495380999055,50
1,Rachel Hunter,4,2049.731487327078,279.33863878228226,1547.9919354967064,2382.5550410062697,50
1,Trista Sutter,1,1166.4708973762297,183.3397936885312,866.9624538708323,1411.5976439689846,50
1,Trista Sutter,2,879.3321888895091,167.3853976509466,650.918382250318,1147.7218226597834,50
2,Drew Lachey,1,1952.3848600171273,201.30969929700532,1661.27085679857,2242.0761712522285,50
2,Drew Lachey,2,2029.443516516639,204.51970472890324,1716.1698579385393,2354.209530185738,50
2,Drew Lachey,3,2254.600831416055,234.78816439631504,1795.6545344449355,2635.6158655787162,50
2,Drew Lachey,4,2564.5553758924143,161.26253684938808,2335.7693808979725,2828.7049611489574,50
2,Drew Lachey,5,2862.865683514234,129.37884779835355,2696.4176770645154,3078.924513686415,50
2,Drew Lachey,6,3256.0105953548186,129.37743184712738,3050.3025697107205,3471.1817536378103,50
2,Drew Lachey,7,3064.383738079116,739.8491108245614,2162.5110046208815,3995.900507612811,50
2,Drew Lachey,8,3978.6904329052545,407.53344338176476,3402.715955524318,4536.801032059818,50
2,George Hamilton,1,841.5149062601087,214.27396159222124,468.36531905196506,1182.2308570710516,50
2,George Hamilton,2,714.4211519273529,280.26142261264044,345.42120683362924,1132.2311546954916,50
2,George Hamilton,3,753.2511392812696,185.92702685019069,481.11767429289335,1118.4316843062093,50
2,George Hamilton,4,819.7632467585638,132.2472468014293,613.0675804269612,1045.920183837226,50
2,George Hamilton,5,834.1267376647887,118.67069289547761,662.7817725311513,1020.0496328228443,50
2,George Hamilton,6,845.7223668330265,72.00488032100576,718.1808268876335,942.5729578289671,50
2,Giselle Fernandez,1,1020.0840446987869,205.07999723016164,699.8404451418911,1273.073806492789,50
2,Giselle Fernandez,2,1079.4354268749034,267.8451375361623,553.4806084844597,1374.6297684299534,50
2,Giselle Fernandez,3,583.2240777900344,141.86434318352337,379.5933453828597,800.0395915577418,50
2,Jerry Rice,1,838.5052380859822,225.1047585885288,528.7104675305475,1223.4314187070236,50
2,Jerry Rice,2,727.2136046124475,276.04071556669214,332.11879534757037,1189.8592261243816,50
2,Jerry Rice,3,837.0318842399247,201.86464935998177,532.7999592376859,1123.6429080385628,50
2,Jerry Rice,4,819.8193683436789,138.52627544798776,613.996927790791,1087.3927270323074,50
2,Jerry Rice,5,893.4581954210603,90.38357156271815,766.1877933709893,1033.847200898183,50
2,Jerry Rice,6,922.6324679129348,68.80675472509172,809.8721231362948,1019.2102683690316,50
2,Jerry Rice,7,2280.752243161148,99.19602169679096,2094.264631484162,2428.896868410268,50
2,Jerry Rice,8,2147.523929711373,88.45099082544088,2012.917779198844,2269.1897090241414,50
2,Kenny Mayne,1,95.51844121322394,98.23736901239958,1.0,266.9830057692109,50
2,Lisa Rinna,1,1241.7933076896738,161.3894305761819,1014.2378240483026,1542.0356600481352,50
2,Lisa Rinna,2,1349.7034730035793,194.29144239838405,968.31924477362,1643.0410397518424,50
2,Lisa Rinna,3,1375.8703654242718,213.13836032246076,1094.6569002275328,1693.9320001897202,50
2,Lisa Rinna,4,1525.626082927719,150.92593031981357,1284.3380689464188,1725.7591100207792,50
2,Lisa Rinna,5,1606.388085258848,125.196686764643,1396.5040542693737,1789.2944596586237,50
2,Lisa Rinna,6,1700.4054355696621,103.24923636938568,1539.343588689174,1887.8277364498042,50
2,Lisa Rinna,7,1736.6743272809522,141.0936981842709,1522.071664416402,1931.1375059747543,50
2,Master P,1,184.47915864145608,101.15842958370636,9.377665754705482,317.24087179555636,50
2,Master P,2,556.9149764158811,122.40200045795116,374.5842031656965,766.3617705003885,50
2,Master P,3,844.2107544442448,131.77212315486247,587.1697186082165,1017.3532282152845,50
2,Master P,4,569.6344702322324,116.82807219115251,378.0524889586506,748.4528525045995,50
2,Stacy Keibler,1,2077.7199133406625,207.48512484738708,1804.5033139531783,2386.967532476167,50
2,Stacy Keibler,2,2119.6124748424168,211.04201956027123,1871.6973722884536,2439.278928926226,50
2,Stacy Keibler,3,2422.896671237183,288.18274827942764,1975.2206046142537,2870.525801262166,50
2,Stacy Keibler,4,2695.835031614583,171.08066572315565,2400.4100707765324,2980.7791615531105,50
2,Stacy Keibler,5,2948.716876388251,144.73032954209236,2715.536102684828,3199.72096824129,50
2,Stacy Keibler,6,3275.229134329558,123.84023849259209,3093.0304640859126,3505.3597932843463,50
2,Stacy Keibler,7,2918.189691478785,740.1734091599718,2131.6345837802883,3898.547387732119,50
2,Stacy Keibler,8,3873.7856373833724,396.93890273601426,3401.359499250728,4421.9009567047915,50
2,Tatum O'Neal,1,733.9879390898583,205.9827274233165,478.8207443980414,1063.6429698967959,50
2,Tatum O'Neal,2,439.14006266884314,137.35609443157887,213.85500617314113,688.5927366139268,50
2,Tia Carrere,1,1014.0121909631201,190.5833862455012,723.8917528077719,1302.102485835567,50
2,Tia Carrere,2,984.115313137937,264.56586716133495,495.388695062853,1379.8030710850237,50
2,Tia Carrere,3,928.914276167017,298.7248289887608,516.2120485663311,1413.9991879522258,50
2,Tia Carrere,4,1004.7664242308082,172.63794867476366,752.0699786237249,1312.397569619045,50
2,Tia Carrere,5,854.4444217528173,86.88880390301934,750.0786348325493,1005.9644210755243,50
3,Emmitt Smith,1,1151.861743396452,212.39797004505672,785.8384417117942,1577.1538838082506,50
3,Emmitt Smith,2,1238.5416662423754,148.15538780624306,968.9011438681072,1471.4084363674262,50
3,Emmitt Smith,3,1388.2858677245158,120.25995517628543,1135.4162905455937,1548.4879701868501,50
3,Emmitt Smith,4,1714.5461854058249,82.57128976194485,1589.124421174382,1845.8075627773512,50
3,Emmitt Smith,5,2177.6229904873717,108.97404387118712,2039.7263143754715,2360.730944594934,50
3,Emmitt Smith,6,2399.195226254834,76.58931057149583,2259.1523221838797,2525.0964566231946,50
3,Emmitt Smith,7,2596.0507039001654,69.07874542736745,2487.9957146195707,2697.5025980297814,50
3,Emmitt Smith,8,2968.6855326025457,81.99072902420455,2841.1536024088296,3105.880786530565,50
3,Emmitt Smith,9,3601.4980499664584,71.37748002933587,3478.5494382221523,3717.0366940697872,50
3,Emmitt Smith,10,4626.28263863772,71.82596071728166,4512.972303542541,4724.357011670756,50
3,Harry Hamlin,1,599.7356960539454,192.90394107132707,254.22057690307028,853.9406716953317,50
3,Harry Hamlin,2,660.752583266288,122.10786571951726,462.21402382154866,814.6837599385965,50
3,Harry Hamlin,3,1.0,0.0,1.0,1.0,50
3,Jerry Springer,1,300.34875718757297,210.8637813329174,26.6086386877598,651.1319086183339,50
3,Jerry Springer,2,365.24669745943834,139.01860981505476,158.25950577133025,578.0854400514818,50
3,Jerry Springer,3,391.32326896210253,96.99351130513242,234.94161543158185,560.0690430131266,50
3,Jerry Springer,4,540.1666192422837,99.97672560571584,360.42140185281926,689.1861382055245,50
3,Jerry Springer,5,767.2398216514898,74.91780727808188,642.7112116364021,861.113403994213,50
3,Jerry Springer,6,733.9313768446297,82.13860598888046,602.9243960911464,860.9450174532284,50
3,Jerry Springer,7,642.8178104241188,76.73719007148158,519.8108043673035,755.1802039829151,50
3,Joey Lawrence,1,1283.262530574222,195.01229185964868,997.1323534001513,1616.7953956794915,50
3,Joey Lawrence,2,1399.9538540883657,133.62441016992625,1207.7005182697387,1624.5261926760904,50
3,Joey Lawrence,3,1535.3247199941636,93.04249314213578,1388.8839919919083,1699.9114350885095,50
3,Joey Lawrence,4,1722.3548466284044,75.55145579350696,1596.770088029654,1829.4164048455,50
3,Joey Lawrence,5,2022.5942009382313,101.30557070015615,1850.4549352663205,2168.6792777473584,50
3,Joey Lawrence,6,2037.5355806238306,79.4739225891308,1911.275636512811,2160.5112091102383,50
3,Joey Lawrence,7,1920.382627332288,79.1067413409009,1789.7004393265588,2039.6456716430623,50
3,Joey Lawrence,8,1882.794554487279,87.89372378488768,1739.0509935040159,2016.01407741112,50
3,Joey Lawrence,9,2031.095162653471,77.15405851587462,1891.0369992153737,2155.327792239421,50
3,Mario Lopez,1,1539.4621109710902,161.69488815844443,1243.142813933324,1757.7495400599921,50
3,Mario Lopez,2,1677.4870763532404,129.38753262444982,1468.606243507361,1879.5425132856792,50
3,Mario Lopez,3,1884.8096610214282,93.55907597689117,1722.770119879179,2007.9583273434534,50
3,Mario Lopez,4,2281.9278342572507,100.74962428618012,2126.106458831857,2431.605937409041,50
3,Mario Lopez,5,2838.493714595953,131.87676966316374,2630.512845124943,3061.974685823284,50
3,Mario Lopez,6,3121.3446692159096,87.39189213318146,2986.54872524063,3257.6008055407056,50
3,Mario Lopez,7,3331.1014421842747,88.7797509361631,3189.676411940938,3469.952428368346,50
3,Mario Lopez,8,3720.7170681207267,83.38506609109955,3566.9214026014756,3844.971766460951,50
3,Mario Lopez,9,4367.40678738007,83.92078633795272,4242.546609477766,4499.470491336568,50
3,Mario Lopez,10,5373.71736136228,71.82596071728173,5275.642988329244,5487.02769645746,50
3,Monique Coleman,1,1370.9487011105095,215.45937661370272,1051.0960182826725,1694.3058433476454,50
3,Monique Coleman,2,1458.2989792691005,149.6293198810141,1192.1606188906167,1664.6893715130045,50
3,Monique Coleman,3,1494.9981567844436,107.33653789871583,1331.024456515847,1639.3025164534847,50
3,Monique Coleman,4,1607.8460436432579,97.15553455455121,1456.6466898874537,1777.7549137172864,50
3,Monique Coleman,5,1820.273249374493,108.78963406889953,1665.8719552454575,1997.048840596342,50
3,Monique Coleman,6,1707.993147060796,82.73635466319757,1579.4239695913109,1846.9422023549205,50
3,Monique Coleman,7,1509.6474161591534,80.96789494749503,1370.5711552870328,1628.3067006340343,50
3,Monique Coleman,8,1427.8028447894496,84.95045070026926,1286.474292373744,1538.1955964425565,50
3,Sara Evans,1,451.93782548866443,205.5617372594886,147.3127056143571,831.3411024351202,50
3,Sara Evans,2,508.28621966597655,157.2458851013575,268.6803059890275,769.4956300241611,50
3,Sara Evans,3,530.3080595135424,116.81685687541402,379.8257778339585,704.3564179493088,50
3,Sara Evans,4,587.1040783804293,92.66046554154093,465.3293159468942,733.7730922531865,50
3,Sara Evans,5,372.776022952461,296.9666915557397,1.0,669.7649205635809,50
3,Shanna Moakler,1,680.2240715219673,199.8700959786479,366.549315082159,970.4996438119044,50
3,Shanna Moakler,2,1.0,0.0,1.0,1.0,50
3,Tucker Carlson,1,87.60550945977751,111.32660218167439,1.0,300.65742926855495,50
3,Vivica A. Fox,1,1291.9992708565608,166.73605557364215,1045.6706844977618,1553.19055851464,50
3,Vivica A. Fox,2,1353.7397951110804,132.58524135918708,1122.2428077792151,1544.3167058604026,50
3,Vivica A. Fox,3,1377.2988349226282,103.85780085914305,1231.644670152122,1520.4492820208184,50
3,Vivica A. Fox,4,1.0,0.0,1.0,1.0,50
3,Willa Ford,1,1242.6137833792375,211.43329755767874,905.0035011925313,1577.07681786674,50
3,Willa Ford,2,1336.6931285441347,139.08023248435737,1111.229997804056,1526.3841599962334,50
3,Willa Ford,3,1396.6514310771754,112.16713138384357,1179.0263837014909,1552.369045280438,50
3,Willa Ford,4,1545.0543924425488,92.45313753593847,1400.9348174966544,1695.334485414176,50
3,Willa Ford,5,1.0,0.0,1.0,1.0,50
4,Apolo Anton Ohno,1,1518.1738724046672,191.82138242146996,1214.4812746820592,1820.9942827236794,50
4,Apolo Anton Ohno,2,1666.4193697532685,155.116350631398,1387.8922491119647,1938.1096554130502,50
4,Apolo Anton Ohno,3,1819.658966990855,117.76099149629079,1639.0207841765093,2010.615447927583,50
4,Apolo Anton Ohno,4,2004.8616762950537,114.52107558667544,1853.6205336369699,2195.968446556276,50
4,Apolo Anton Ohno,5,2159.839662372181,106.96725672404403,1988.2199491577426,2321.8361605021464,50
4,Apolo Anton Ohno,6,2582.692616277041,89.7417841154326,2460.5555031690074,2709.017913052813,50
4,Apolo Anton Ohno,7,2953.1815975984373,102.43442408398408,2772.887621701835,3137.621691590679,50
4,Apolo Anton Ohno,8,3186.8962077202264,91.33026307546467,3054.0720866957095,3312.032699907494,50
4,Apolo Anton Ohno,9,3527.6589493147103,82.68568374879736,3416.2797238779394,3639.952318108191,50
4,Apolo Anton Ohno,10,4012.771007010838,83.7383832913875,3867.485097911445,4143.979486772279,50
4,Billy Ray Cyrus,1,541.1834069537526,222.0819503457002,203.33457074037923,846.4620483962582,50
4,Billy Ray Cyrus,2,617.040575193783,153.44988393471115,376.19997062729885,815.1735785591267,50
4,Billy Ray Cyrus,3,654.8534900940815,117.27599912209864,479.12357698809177,834.7608398667152,50
4,Billy Ray Cyrus,4,675.8402327100868,101.0980979547461,528.4876099034624,847.2346749791233,50
4,Billy Ray Cyrus,5,604.6682676600747,96.41767480046374,452.5208918762821,746.0514440899261,50
4,Billy Ray Cyrus,6,718.3079815894373,91.16667559426001,579.3728738181999,850.4257750766042,50
4,Billy Ray Cyrus,7,731.8627222135631,83.92139428694782,602.9457583428634,851.3995140073696,50
4,Billy Ray Cyrus,8,617.7001667201299,74.2024897608641,494.43173732328364,731.0710593467735,50
4,Clyde Drexler,1,166.56191875523828,153.47876140127755,1.0,417.86905677939046,50
4,Clyde Drexler,2,239.96919931768377,110.19408546843891,113.28905802369464,419.8488924098512,50
4,Clyde Drexler,3,299.79974919661896,109.28228705231216,149.46035935726846,491.3158469138849,50
4,Clyde Drexler,4,340.31924638475846,87.46036297442139,206.50115644955682,471.7948312272756,50
4,Clyde Drexler,5,286.31218958256494,92.2923361600043,155.65961054135147,428.68587848059525,50
4,Heather Mills,1,1090.3938535600357,198.80318554902425,756.7560661481523,1394.9483599264204,50
4,Heather Mills,2,1138.750452231815,136.00971469235813,942.6450364080342,1380.190119042865,50
4,Heather Mills,3,1165.854284767581,123.41143906720858,946.8617350612744,1347.2499569108065,50
4,Heather Mills,4,1214.5852034306877,92.69667315415558,1052.995232142158,1354.6279164635089,50
4,Heather Mills,5,1151.3708998001705,84.3559529867397,1025.2974696930369,1280.904707421779,50
4,Heather Mills,6,1.0,0.0,1.0,1.0,50
4,Ian Ziering,1,1139.833764708668,208.4119129474234,850.586004291811,1495.2608725653051,50
4,Ian Ziering,2,1208.5591708710738,131.82927405718382,1044.0667443621958,1396.9413110574815,50
4,Ian Ziering,3,1290.5017015779547,98.42936131603983,1132.8925756331703,1431.4430746280154,50
4,Ian Ziering,4,1369.398322100126,87.3885316223841,1229.023273731116,1481.628209263382,50
4,Ian Ziering,5,1315.343589445147,88.55242439621436,1167.6158356992878,1460.8692129124809,50
4,Ian Ziering,6,1452.7049684038166,86.73210013485705,1303.551090815455,1562.8744883338588,50
4,Ian Ziering,7,1452.8854415688722,87.13480315575401,1304.6688034171718,1602.636089089852,50
4,Ian Ziering,8,1316.2486499342472,78.24143172363294,1174.8891782927753,1434.0010237193767,50
4,Ian Ziering,9,1273.4273988329494,75.06553708003004,1134.1825897464284,1392.3288422936757,50
4,Joey Fatone,1,1564.6133055310365,209.5779625495167,1223.1676590378506,1832.0775572190507,50
4,Joey Fatone,2,1653.8251913435763,150.2095806361388,1404.4899432298644,1848.2874424020376,50
4,Joey Fatone,3,1773.0608943781249,113.09053681760585,1601.6016031257595,1972.6607307685294,50
4,Joey Fatone,4,1942.304406356823,91.02272966464206,1777.6651924982145,2075.255484556634,50
4,Joey Fatone,5,2031.7178480319117,93.6086615771067,1905.1930309871236,2199.1966386442896,50
4,Joey Fatone,6,2360.3886343825766,77.3115913225317,2263.0435738159986,2488.237104338234,50
4,Joey Fatone,7,2598.66537612992,74.51925651173283,2487.194862202954,2740.6308275597103,50
4,Joey Fatone,8,2645.701181085568,89.79761035769971,2517.399188757416,2768.654807207858,50
4,Joey Fatone,9,2867.149125408571,85.79301071427963,2748.615065791667,3026.7044098472757,50
4,Joey Fatone,10,3294.661454358757,93.24433942636266,3141.962599086208,3444.9145547693784,50
4,John Ratzenberger,1,556.6082599565724,165.31818590076816,289.07552037586987,841.202940614991,50
4,John Ratzenberger,2,590.6299836431438,122.31039156993629,389.6190010729379,764.9092594553528,50
4,John Ratzenberger,3,619.6732770764661,121.06326438304802,399.60288602206776,786.3360420522869,50
4,John Ratzenberger,4,665.2332181064495,94.40222776365918,493.5191667872546,787.4889962989372,50
4,John Ratzenberger,5,612.1455874303188,92.3195127978421,441.32752831354816,733.7043422858216,50
4,John Ratzenberger,6,763.9277353153972,90.47662067645413,633.5964335828185,887.1788563892774,50
4,John Ratzenberger,7,18.421398618894106,86.31995273835457,1.0,1.0,50
4,Laila Ali,1,1419.5699762867544,176.49909728924706,1140.7032842550839,1647.526946260779,50
4,Laila Ali,2,1503.5231454584844,131.22162745015024,1308.2046814014716,1725.6179430536222,50
4,Laila Ali,3,1631.0143528252363,124.48817720236677,1432.0537503254925,1838.595625174308,50
4,Laila Ali,4,1786.4576946160148,90.06446728140516,1649.1849137900178,1926.3822838260523,50
4,Laila Ali,5,1838.6019556776307,96.08428062390408,1707.5638564445208,1985.274969200291,50
4,Laila Ali,6,2120.9780640317313,79.56725883565332,2000.7424982691532,2255.3474362824736,50
4,Laila Ali,7,2244.9834638703123,78.13449329773034,2102.145085451814,2337.200642574446,50
4,Laila Ali,8,2233.453794539829,83.09820389377325,2110.39985959447,2368.874439123568,50
4,Laila Ali,9,2331.7645264437697,74.50987399261089,2203.9745822403174,2446.438584842098,50
4,Laila Ali,10,2692.567538630405,88.75166657602362,2538.7965258099957,2825.053269453378,50
4,Leeza Gibbons,1,605.6921723373823,188.86622284628444,327.5738681106712,910.2529535255021,50
4,Leeza Gibbons,2,673.7070061976133,139.0361089528479,458.9404227114262,935.4110534803905,50
4,Leeza Gibbons,3,743.1394990728423,98.49839177968549,569.5913421164466,896.2853988172571,50
4,Leeza Gibbons,4,1.0,0.0,1.0,1.0,50
4,Paulina Porizkova,1,761.1793315836939,227.4823420381712,327.75929734903883,1063.2569250399138,50
4,Paulina Porizkova,2,1.0,0.0,1.0,1.0,50
4,Shandi Finnessey,1,636.1901379221988,188.54072738042305,289.3174429415529,918.4627932715409,50
4,Shandi Finnessey,2,706.5759059895579,117.26326804856046,496.434668564104,882.3994305056667,50
4,Shandi Finnessey,3,2.4437840202389784,10.209094712797574,1.0,1.0,50
5,Albert Reed,1,681.92721493061,181.16299952971738,392.603500129037,948.597156905023,50
5,Albert Reed,2,1.0,0.0,1.0,1.0,50
5,Cameron Mathison,1,994.856612539857,173.8548970122994,723.8136457472721,1287.6848809256878,50
5,Cameron Mathison,2,1040.940767666279,133.36663828104847,825.9903842310282,1270.0989943550317,50
5,Cameron Mathison,3,1058.0673823855666,111.75995436567554,852.9233853078397,1234.6679456036964,50
5,Cameron Mathison,4,1120.270089381466,101.87108829712822,980.5752556892232,1287.5254107002875,50
5,Cameron Mathison,5,1068.0032244054287,84.71944589760959,943.595776278003,1201.0907771963377,50
5,Cameron Mathison,6,1300.271010751801,102.57604070116818,1165.9008490883855,1489.5009719842624,50
5,Cameron Mathison,7,1247.6611660092606,117.34249419537697,1078.81889218978,1466.562953216878,50
5,Cameron Mathison,8,1.0,0.0,1.0,1.0,50
5,Floyd Mayweather Jr. ,1,452.5298137330693,193.45782049777628,153.57461696142317,724.077026868625,50
5,Floyd Mayweather Jr. ,2,557.6240685399438,151.76109232799251,322.2292193785083,785.6875007256174,50
