,Coefficient,Std_Error,Z_Value,P_Value,CI_Lower,CI_Upper
C(celebrity_industry_consolidated)[T.Athlete],-1.0341922069951388,0.36644092119364363,-2.822261781316246,0.004768623454431411,-1.7524032149963604,-0.3159811989939171
C(celebrity_industry_consolidated)[T.Comedian],-1.5217762114527316,0.8255077813007987,-1.8434426009344016,0.06526441497905454,-3.1397417317598646,0.09618930885440147
C(celebrity_industry_consolidated)[T.Model],-1.1109788268852812,0.7957692341590351,-1.3961067847255466,0.16268234101623924,-2.670657865842011,0.4487002120714485
C(celebrity_industry_consolidated)[T.Other],-1.1608128788056888,0.5486088250843199,-2.1159208997909844,0.03435153558450545,-2.2360664175717897,-0.08555934003958776
C(celebrity_industry_consolidated)[T.Racing Driver],-1.1422599131352356,1.3519432770695992,-0.8449022473865455,0.3981654195817661,-3.7920200453327055,1.5075002190622344
C(celebrity_industry_consolidated)[T.Singer/Rapper],-0.13012992657230577,0.3933656633687951,-0.33081160530858045,0.7407867942326647,-0.901112459529851,0.6408526063852393
C(celebrity_industry_consolidated)[T.Social Media Personality],0.6431660539686147,0.8943546886788674,0.7191398022620016,0.47205478545269897,-1.109736925246498,2.396069033183727
C(celebrity_industry_consolidated)[T.TV Personality],-1.2323667337953423,0.381052207560785,-3.23411519299165,0.0012202022952712704,-1.9792153368439622,-0.48551813074672245
C(season_cat)[T.10],0.1177432448529839,3.7424996579041463,0.03146112374501106,0.9749017955434122,-7.217421296792616,7.452907786498584
C(season_cat)[T.11],1.0648501398025243,3.3058122932617975,0.32211451992389195,0.7473659387364823,-5.414422894640362,7.54412317424541
C(season_cat)[T.12],1.0356337540791576,3.246424923294883,0.3190074554467335,0.7497208592989237,-5.327242174092021,7.398509682250335
C(season_cat)[T.13],0.5225748579042222,3.3948009715650964,0.1539338719062817,0.8776618764717244,-6.131112781044951,7.176262496853395
C(season_cat)[T.14],2.9082643175910845,3.389345539259543,0.8580607329362003,0.3908589285248175,-3.734730870519107,9.551259505701276
C(season_cat)[T.15],3.654585300715294,2.4840638445950733,1.4712123074723256,0.1412337097971682,-1.2140903699891514,8.52326097141974
C(season_cat)[T.16],0.0155518861508024,3.406994443463134,0.004564693723126315,0.9963579140015391,-6.662034518565025,6.693138290866631
C(season_cat)[T.17],2.416907928470178,3.384175955051559,0.7141791563356686,0.47511640396995847,-4.215955060777318,9.049770917717675
C(season_cat)[T.18],8.033934518966923,3.4026496251122675,2.361081922650749,0.01822170480150579,1.3648638017381618,14.703005236195684
C(season_cat)[T.19],9.657905258338362,3.402009960956993,2.8388821223855474,0.004527187761486572,2.9900882598161393,16.325722256860583
C(season_cat)[T.20],8.849944209016114,3.391252417984676,2.609638893903209,0.009063784311908494,2.2032116072817756,15.49667681075045
C(season_cat)[T.21],2.934565190885665,3.3833346687275565,0.8673588273752801,0.3857454335226268,-3.6966489074661006,9.565779289237431
C(season_cat)[T.22],2.498315673396683,3.382962228830577,0.7384994287270837,0.4602110141901896,-4.132168456170597,9.128799802963965
C(season_cat)[T.23],6.232255985068805,3.371724479515202,1.848388272212829,0.06454619407672618,-0.37620256057305124,12.84071453071066
C(season_cat)[T.24],8.687675135811197,3.4045208258745574,2.5518055491934013,0.010716631059682279,2.014936932480504,15.36041333914189
C(season_cat)[T.25],2.2109085458191493,3.4074525079286118,0.648845006841536,0.5164385632986985,-4.4675756487516125,8.889392740389912
C(season_cat)[T.26],9.14494672320985,3.500602979706502,2.612391858266824,0.008991113239786607,2.283890958811509,16.006002487608193
C(season_cat)[T.27],1.564601571738282,3.4087621472594196,0.45899405829655554,0.6462384328832608,-5.116449468753601,8.245652612230165
C(season_cat)[T.28],0.6886472109447265,3.3641506586129073,0.20470165602769605,0.8378052264836654,-5.904966918503275,7.282261340392727
C(season_cat)[T.29],0.3362481780038723,3.3756113779581174,0.09961104533522054,0.9206531245336338,-6.279828548597662,6.9523249046054065
C(season_cat)[T.2],1.720928167157738,4.24704299970452,0.40520620282805436,0.6853259459309129,-6.6031231530560754,10.044979487371553
C(season_cat)[T.30],7.698122662226274,3.3863380777029466,2.2732882794290106,0.02300881337522803,1.0610219904519003,14.335223334000649
C(season_cat)[T.31],9.064427429386063,3.3695724234109434,2.6900823874295434,0.007143438086921688,2.460186836201264,15.668668022570863
C(season_cat)[T.32],3.220454264938552,3.3497060176186855,0.9614140011092619,0.3363440472091753,-3.344848888391163,9.785757418268268
C(season_cat)[T.33],3.4645824030600303,3.3835732694126595,1.0239418884111922,0.3058627235176894,-3.167099344041224,10.096264150161284
C(season_cat)[T.34],3.1669814418925504,3.3948253902344,0.9328849286336586,0.3508793847549756,-3.486754056769008,9.820716940554108
C(season_cat)[T.3],1.3331279392388335,3.2236067086032003,0.4135516704568723,0.6792024738605298,-4.985025109945144,7.651280988422811
C(season_cat)[T.4],0.7034551133508792,3.5496493671794043,0.1981759437580319,0.8429074083097707,-6.253729804066148,7.6606400307679055
