ballroom_partner,Raw_Mean,Raw_SD,N,Shrink_Factor,Effect_EB
Derek Hough,0.207175136209775,1.3834780846222021,164,0.9768475776097474,0.20237852994748817
Corky Ballas,0.26501189431053634,1.8850858267451298,11,0.7389001817709264,0.19581733687751285
Damian Whitewood,0.24790376926108568,2.682987652719529,7,0.6429692382140298,0.15939449767218689
Charlotte Jorgensen,0.24118066932024776,0.524496526937593,6,0.60685807161335,0.1463624358941026
Alan Bersten (Rashad Jennings week 9),0.1765423541785656,0.151162853806342,11,0.7389001817709264,0.13044717759280938
Kym Johnson,0.1328539565489971,1.3566638759226242,93,0.9598811925366418,0.12752401424546253
Val Chmerkovskiy,0.18132412786252844,0.2127859402068944,5,0.562620156924825,0.1020166092722728
Cheryl Burke,0.08495790959938487,1.2745691678316837,191,0.9800551565398458,0.0832634373917232
Julianne Hough,0.08429808573478226,1.1078466540714202,41,0.9134049649257993,0.0769982900438908
Henry Byalikov,0.36243932582104055,,1,0.20462491102728417,0.07416411479891928
Val Chmerkovskiy (Joey Graziadei week 9),0.09081898082755516,0.32339544920637836,11,0.7389001817709264,0.06710616144173079
Daniella Karagach (Rumer Willis week 9),0.08822004174365848,0.14482673412597705,11,0.7389001817709264,0.06518580488022797
Tristan MacManus,0.07413091591321018,1.091774402584638,21,0.84381436094297,0.0625527314374225
Sasha Farber,0.05246439775527345,1.383983036071784,96,0.9610861184410618,0.050422804394963716
Valentin Chmerkovskiy,0.0509364019876311,1.239548454799536,158,0.975989481885707,0.04971339258503017
Lacey Schwimmer,0.05266051321704157,0.4537272395335739,41,0.9134049649257993,0.048100374227986444
Witney Carson (Xoshitl Gomez week 9),0.05625833812471092,0.3082499369709052,11,0.7389001817709264,0.041569296266479136
Fabian Sanchez,0.06269406211696005,0.07305920648835364,6,0.60685807161335,0.03804639763790595
Ezra Sosa (Apolo Anton Ohno week 9),0.046954170619766054,0.3063788875125148,11,0.7389001817709264,0.03469444520584823
Witney Carson,0.035883115342005445,1.305432614299778,107,0.9649463791907452,0.03462528222335203
Lindsay Arnold,0.031958577632644,1.2656742953980777,79,0.9531049384951472,0.03045987816895355
Dmitry Chaplin,0.029419739468077556,1.9974348954876844,19,0.8301659401134956,0.024423265673410716
Maksim Chmerkoskiy,0.018088241287171045,1.5304777311547018,121,0.9688759373400194,0.017525261731940286
Allison Holker,0.01579778512210101,1.764768001205837,28,0.8781010545326795,0.013872051774997573
Louis van Amstel,0.01270464564140614,1.16942562119545,65,0.9435743891689512,0.011987778250697778
Sharna Burgess,0.006766017384232727,1.2089731980320684,95,0.9606925997248489,0.00650006283064206
Daniella Karagach,0.004790992318365888,0.36930961569900417,44,0.9188299269543335,0.004402107121922902
Anna Demidova,0.003387745494901268,0.3831138830666688,7,0.6429692382140298,0.00217821614011968
Mark Ballas,-0.007155714409481689,1.5488956938826133,166,0.9771201402388175,-0.0069919926673016755
Peta Murgatroyd,-0.007552759979141971,1.5224157492250614,101,0.9629411569623619,-0.007272863432573994
Karina Smirnoff,-0.007819643847901684,1.2021357289362429,117,0.9678460808591348,-0.0075682116519058895
Artem Chigvintsev,-0.012298788229712497,1.606964573676706,81,0.9542098206736417,-0.011735624511177057
Brandon Armstrong,-0.02198485369630536,0.9781129147897579,45,0.9204902883753392,-0.020236844318801763
Kym Herjavec,-0.05063114148267711,0.1351678967948257,4,0.5071642967890891,-0.025678307265690817
Edyta Sliwinska,-0.027783473677106287,1.4637810683733394,58,0.9371921225163095,-0.026038452666323254
Jenna Johnson,-0.029300550484368446,1.048113058604564,56,0.935094575889234,-0.0273987858285016
Pasha Pashkov,-0.052429325522741016,0.8980334572647108,37,0.9049333181768975,-0.04744504351507073
Emma Slater,-0.0511438768490806,1.162530287782316,99,0.9622207773915153,-0.04921170094053826
Alan Bersten,-0.05461974759729233,1.1459840645627812,62,0.9410051895263281,-0.05139746593967027
Jan Ravnik,-0.07997039428241326,0.25362267830488,7,0.6429692382140298,-0.05141850349143886
Britt Stewart,-0.06284909967886182,0.3409016031207963,30,0.8852954936730607,-0.05564002472710537
Tony Dovolani,-0.06662463868978996,1.7464082452956713,118,0.9681098819342466,-0.0644999710958844
Jonathan Roberts,-0.08782107669835078,1.623864664056057,28,0.8781010545326795,-0.07711578005901715
Rylee Arnold,-0.11091181973115279,0.300868113090502,24,0.8606163502742846,-0.0954525254993041
Keo Motsepe,-0.13346988798930992,1.485268643445955,35,0.9000439358638925,-0.12012876330521138
Gleb Savchenko,-0.133144905232589,1.4360224077827652,75,0.9507271035088337,-0.12658447009873752
Tyne Stecklein,-0.30815144928111415,0.20987244871317703,3,0.4356039103037632,-0.1342319762726251
Emma Slater/Kaitlyn Bristowe (week 9),-0.2282747464332205,1.8065844677488585,9,0.6983787244363944,-0.15942222623507388
Chelsie Hightower,-0.1828132464418551,1.9124882546933928,43,0.9170987415626422,-0.16765779825280647
Ezra Sosa,-0.5282041651337965,0.28760675479348824,2,0.3397321592042845,-0.17944794152160115
Anna Trebunskaya,-0.2396518537168428,2.0092835057436917,54,0.9328520884657346,-0.22355973224444153
Nick Kosovich,-0.39891427318538836,2.8146120347511867,6,0.60685807161335,-0.2420843465643259
Ashly DelGrosso,-0.3324966376738961,1.5178700083725793,15,0.7941974654701955,-0.26406798691797023
Alec Mazo,-0.32697008107491526,2.3883835665108495,19,0.8301659401134956,-0.2714394247445429
Andrea Hale,-1.460086097999945,,1,0.20462491102728417,-0.29876998789541326
Koko Iwasaki,-0.4368269041299441,0.29982323581274006,9,0.6983787244363944,-0.3050706161057695
Elena Grinenko,-0.5140237482554345,0.5198003870980844,6,0.60685807161335,-0.3119394606297591
Jesse DeSoto,-1.4287432425839337,4.4976015550655095,2,0.3397321592042845,-0.48539002675157067
Brian Fortuna,-1.3002068864254601,3.81893131276042,3,0.4356039103037632,-0.5663752039308114
Inna Brayer,-4.417230910240211,,1,0.20462491102728417,-0.9038754819948727
