,Coefficient,Std_Error,Z_Value,P_Value,CI_Lower,CI_Upper
C(celebrity_industry_consolidated)[T.Athlete],-0.2321632754323712,0.15651078235302635,-1.483369209085562,0.13797634351939167,-0.5389187720364899,0.07459222117174752
C(celebrity_industry_consolidated)[T.Comedian],-0.25039644643339676,0.35585780657552735,-0.7036418530283178,0.48165584015364193,-0.9478649309388512,0.44707203807205764
C(celebrity_industry_consolidated)[T.Model],-1.1156215555441134,0.3149213806295535,-3.542539897779868,0.00039629346985397087,-1.732856119539668,-0.4983869915485587
C(celebrity_industry_consolidated)[T.Other],-0.20856168028874775,0.23227508823061613,-0.8979080876795348,0.3692345525369405,-0.6638124877266187,0.24668912714912325
C(celebrity_industry_consolidated)[T.Racing Driver],0.1990107332040195,0.5686174078834995,0.3499905744088538,0.7263457713846129,-0.9154589072301612,1.3134803736382001
C(celebrity_industry_consolidated)[T.Singer/Rapper],-0.08680735698119917,0.16932826115089955,-0.5126572279853475,0.6081911140629692,-0.4186846504017551,0.24506993643935676
C(celebrity_industry_consolidated)[T.Social Media Personality],-0.06516592460586497,0.3872980597431447,-0.16825781324358527,0.8663804607917209,-0.8242561729846708,0.6939243237729408
C(celebrity_industry_consolidated)[T.TV Personality],-0.20259129666414974,0.16548208805865303,-1.224249095722939,0.22085827351737142,-0.5269302293455954,0.12174763601729596
C(season_cat)[T.10],-1.324711451397584,0.5653948973104986,-2.3429844480363085,0.019130180486603858,-2.4328650871688833,-0.2165578156262844
C(season_cat)[T.11],-1.3178570405645795,0.5539793017808143,-2.378892201077214,0.01736475328925458,-2.4036365202356214,-0.2320775608935377
C(season_cat)[T.12],-1.2240937370967715,0.5507199389365056,-2.222715486678432,0.02623499095452221,-2.3034849829804203,-0.14470249121312273
C(season_cat)[T.13],-1.435684396571475,0.563725675606991,-2.5467784397537034,0.010872243729644843,-2.540566417921687,-0.33080237522126277
C(season_cat)[T.14],-1.3745011744850748,0.5576259737797126,-2.4649159815286237,0.013704538254886002,-2.467427999937388,-0.2815743490327616
C(season_cat)[T.15],-1.9274861717616851,0.5179318180735799,-3.721505620046415,0.00019803845743432318,-2.942613881633253,-0.912358461890117
C(season_cat)[T.16],-1.4964885045322018,0.5608842107767272,-2.6680881290272462,0.0076284245414103315,-2.5958013571517595,-0.3971756519126439
C(season_cat)[T.17],-1.5062272944119095,0.5569733362684732,-2.70430772234647,0.006844686990071368,-2.597874973847234,-0.41457961497658524
C(season_cat)[T.18],-1.4615668029207172,0.5634017412426462,-2.594182260951247,0.009481620835313407,-2.5658139245834586,-0.35731968125797575
C(season_cat)[T.19],-1.4531761118051312,0.5564800526061975,-2.611371431912755,0.009017988921416439,-2.543856973028233,-0.36249525058202936
C(season_cat)[T.20],-1.5793817979852491,0.5573344586877885,-2.8338132935541283,0.00459961968241987,-2.671737264356441,-0.48702633161405706
C(season_cat)[T.21],-1.5822550313521138,0.5532867022922445,-2.8597380432186332,0.004239910780258026,-2.666677040969848,-0.4978330217343796
C(season_cat)[T.22],-1.2767752022986107,0.5564500399841343,-2.2945010523047396,0.021761734687682183,-2.3673972398633873,-0.18615316473383436
C(season_cat)[T.23],-1.3126547731674787,0.549365488483755,-2.389401592718168,0.01687584419598561,-2.389391344944892,-0.23591820139006514
C(season_cat)[T.24],-1.5159195286316929,0.5594417168889124,-2.709700551224189,0.006734397792861121,-2.6124051451832146,-0.41943391208017133
C(season_cat)[T.25],-1.6527555460130026,0.5531125240814088,-2.9881000231514285,0.002807176674465853,-2.736836172610607,-0.5686749194153979
C(season_cat)[T.26],-1.8229274548220495,0.6271555212558163,-2.9066593421226994,0.003653107904619912,-3.052129689188894,-0.5937252204552053
C(season_cat)[T.27],-1.9757966622217336,0.5566132895018339,-3.5496756895439234,0.00038570599742745787,-3.0667386629616944,-0.8848546614817727
C(season_cat)[T.28],-0.9833473370674329,0.5546496590234415,-1.7729161481840432,0.07624260243473624,-2.0704406927908,0.10374601865593391
C(season_cat)[T.29],-1.0860734638540104,0.5390727829793738,-2.014706544543849,0.04393540607695483,-2.1426367035393596,-0.029510224168661114
C(season_cat)[T.2],-0.5463914712658857,0.6009804492988562,-0.9091667988590018,0.36326208671327775,-1.7242915073043439,0.6315085647725724
C(season_cat)[T.30],-1.1694084588418476,0.5437510782320804,-2.150631981538303,0.03150525893995396,-2.2351409887315468,-0.10367592895214872
C(season_cat)[T.31],-1.1935080657310526,0.5418188749841513,-2.2027805247020305,0.02761022147193424,-2.255453546843999,-0.1315625846181061
C(season_cat)[T.32],-0.9880834928610711,0.5476145091008541,-1.804341332159802,0.07117781405699393,-2.0613882081103267,0.08522122238818453
C(season_cat)[T.33],-0.9845519829401399,0.5559711611973865,-1.7708687997768184,0.07658252176528485,-2.07423543532993,0.10513146944965057
C(season_cat)[T.34],-1.2820526853222582,0.5480214656403364,-2.3394205623391815,0.019313678373215102,-2.356155020732172,-0.2079503499123443
C(season_cat)[T.3],-1.3866446982226968,0.5551381912458916,-2.4978369712065076,0.012495364423446698,-2.474695559507353,-0.29859383693804054
C(season_cat)[T.4],-1.0633409489937893,0.5524736135765702,-1.924690922540168,0.0542680368078029,-2.1461693340125656,0.01948743602498726
C(season_cat)[T.5],-1.3846339031288344,0.574568374735075,-2.4098679356782706,0.015958295917758648,-2.5107672242652948,-0.2585005819923738
C(season_cat)[T.6],-1.3558543211000413,0.5621183990796609,-2.4120440165629513,0.0158633662748664,-2.4575861383434896,-0.25412250385659285
C(season_cat)[T.7],-1.6097283177696553,0.561339711490029,-2.8676544431477455,0.004135269178965481,-2.709933935382217,-0.5095227001570937
C(season_cat)[T.8],-1.8190580544091701,0.537168879451034,-3.3863801943779355,0.0007082119211408564,-2.871889711748935,-0.7662263970694057
C(season_cat)[T.9],-1.818127614311503,0.5412546815470828,-3.359098177432295,0.0007819728092732206,-2.8789672966074815,-0.7572879320155246
C(week_cat)[T.10],0.5077982813328319,0.164759745026053,3.082053090410738,0.002055781684632092,0.18487511497976566,0.8307214476858982
C(week_cat)[T.11],0.4593730684962086,0.25931833138985944,1.7714639224852435,0.07648358695449037,-0.048881521558938434,0.9676276585513557
