,Coefficient,Std_Error,Z_Value,P_Value,CI_Lower,CI_Upper
C(celebrity_industry_consolidated)[T.Athlete],-1.1107914582892777,0.6783646702829473,-1.6374547598800573,0.10153548433145508,-2.440361780428243,0.2187788638496877
C(celebrity_industry_consolidated)[T.Comedian],-0.7654225698286774,1.4948173177232564,-0.5120509113411169,0.6086153788060961,-3.695210676033027,2.164365536375672
C(celebrity_industry_consolidated)[T.Model],-2.6592682221376474,1.2976427142901232,-2.049306941620215,0.040432110307781884,-5.202601206947088,-0.11593523732820632
C(celebrity_industry_consolidated)[T.Other],0.040642744635807,0.9927609608381056,0.040939104415926776,0.9673444427496849,-1.905132983864259,1.9864184731358732
C(celebrity_industry_consolidated)[T.Racing Driver],-0.5696282757326088,2.461844803934781,-0.23138269107060222,0.8170175108735229,-5.394755426971851,4.255498875506633
C(celebrity_industry_consolidated)[T.Singer/Rapper],0.47785108942731536,0.738015821703908,0.6474808200237058,0.5173208039035829,-0.9686333411330783,1.924335519987709
C(celebrity_industry_consolidated)[T.Social Media Personality],1.776875353439233,1.751685755466955,1.014380203694448,0.3104013667186414,-1.6563656395078348,5.2101163463863
C(celebrity_industry_consolidated)[T.TV Personality],-0.9064506329851341,0.7253965132211962,-1.2495933140896263,0.21144814671635226,-2.3282016734096116,0.5153004074393437
C(season_cat)[T.10],-1.6544887886101163,2.3725675547948004,-0.6973410663340249,0.4855893737665339,-6.304635746896187,2.995658169675954
C(season_cat)[T.11],-0.9902951681496641,2.2640990725738495,-0.43739038637734484,0.6618282549485275,-5.427847807824946,3.4472574715256186
C(season_cat)[T.12],-0.6420469379889098,2.246801817359129,-0.2857603786094343,0.7750616564913363,-5.045697580411943,3.761603704434123
C(season_cat)[T.13],-1.8883798985488673,2.3583687989947832,-0.8007144172504991,0.4232969941792264,-6.510697806841625,2.73393800974389
C(season_cat)[T.14],-2.0555345286890376,2.3430411898222054,-0.8772933816178518,0.3803273061332494,-6.647810875034436,2.536741817656361
C(season_cat)[T.15],0.7563326922085518,2.153749647144454,0.3511701990114471,0.7254606659029921,-3.4649390479104274,4.9776044323275315
C(season_cat)[T.16],-1.9695044382992353,2.3548902861958174,-0.836346580494351,0.4029599554456166,-6.585004586786258,2.6459957101877873
C(season_cat)[T.17],-1.9386691242348597,2.3442538631604135,-0.826987705854193,0.40824402978898955,-6.533322266648159,2.6559840181784393
C(season_cat)[T.18],-1.6856533227951924,2.357801294679345,-0.7149259467280243,0.47465480314238295,-6.306858943068621,2.9355522974782353
