ballroom_partner,Raw_Mean,Raw_SD,N,Shrink_Factor,Effect_EB
Dmitry Chaplin,0.5332969971740301,0.4896175477306057,19,0.9678480515114097,0.5161504595917709
Jenna Johnson,0.3688880591341862,3.217122832104616,56,0.9888545373226261,0.36477663103897723
Val Chmerkovskiy (Joey Graziadei week 9),0.3747987132574565,9.529155618663529,11,0.9457337370406796,0.3544597877270125
Henry Byalikov,0.5293952729244449,,1,0.6130528599698216,0.3245472861208352
Derek Hough,0.2871896189101611,4.940178893192121,164,0.9961660925453849,0.28608856048933334
Mark Ballas,0.13319002119720136,4.224667984935721,166,0.9962121092325169,0.13268551194558761
Corky Ballas,0.11883313028375753,0.06524281747917521,11,0.9457337370406796,0.11238450038749996
Tyne Stecklein,0.13384181409473564,0.023204558733950525,3,0.8261775545679522,0.11057710266772716
Allison Holker,0.10568146233406635,4.578675442095161,28,0.9779547788349616,0.10335169112386718
Julianne Hough,0.09495075747668683,2.594116884656082,41,0.9848387506621128,0.09351118536776151
Alec Mazo,0.08873800773187705,5.02342491770048,19,0.9678480515114097,0.08588490787830162
Witney Carson (Xoshitl Gomez week 9),0.05796954420890204,8.64375909693263,11,0.9457337370406796,0.054823753679229814
Emma Slater/Kaitlyn Bristowe (week 9),0.054800686687064726,0.09773574317488455,9,0.9344648667769542,0.051209316384313544
Tristan MacManus,0.03550002528788167,0.1985299451722755,21,0.9708207924743896,0.03446416268284215
Lindsay Arnold,0.029129784990761666,0.3625505922522227,79,0.9920736989536708,0.02889889354551005
Charlotte Jorgensen,0.03157456325900654,7.548956250865489,6,0.9048162403500946,0.028569177618710525
Brandon Armstrong,0.02830855361305298,0.519628225449466,45,0.9861677760435872,0.027916983359595113
Pasha Pashkov,0.025405387928928574,4.53499880299235,37,0.983227188223578,0.024979268139089673
Kym Herjavec,0.025539904092655163,0.02934040787174693,4,0.8637106279415652,0.022059086601434543
Cheryl Burke,0.017092545432122297,3.689155937292295,191,0.9967062734329133,0.01703624726113338
Damian Whitewood,0.017299752783935776,0.0596147667462351,7,0.9172892459379229,0.01586887718608893
Witney Carson,-0.0010607887879124165,2.4952030539320775,107,0.9941357076376892,-0.0010545680123254368
Anna Demidova,-0.0049344753220419745,0.059614766746236204,7,0.9172892459379229,-0.004526341147255172
Maksim Chmerkoskiy,-0.006058413501342078,2.7658169150274814,121,0.9948106997950656,-0.006026974574917986
Artem Chigvintsev,-0.014886829175804304,4.24133459852315,81,0.9922678968319151,-0.01477172267677133
Valentin Chmerkovskiy,-0.015375173644172523,4.104654620081729,158,0.9960210804196188,-0.015313997064707964
Karina Smirnoff,-0.01678161638169912,3.2423779086424025,117,0.994634239772355,-0.016691570251962603
Alan Bersten (Rashad Jennings week 9),-0.01786786290603779,0.1320129414683963,11,0.9457337370406796,-0.01689824075905766
Kym Johnson,-0.021739890106751186,3.5543049407276333,93,0.9932588619923718,-0.021593338507270906
Val Chmerkovskiy,-0.026274172914155257,0.03736113196682805,5,0.8879132559610229,-0.02332918641989051
Koko Iwasaki,-0.02951002109371497,0.1280838544136944,9,0.9344648667769542,-0.02757607792992347
Britt Stewart,-0.03379251427193406,0.17903597221711245,30,0.97939417624984,-0.03309619167877182
Keo Motsepe,-0.04261951149215878,4.254972403534852,35,0.9822857200239992,-0.04186453753314629
Tony Dovolani,-0.04427421568466265,3.068625354776934,118,0.994679470378638,-0.04403865340864983
Sasha Farber,-0.04619293315405513,2.9948082657980413,96,0.993468146551187,-0.045891207684322026
Sharna Burgess,-0.0666700394321172,3.1802156595495505,95,0.9933998440017439,-0.06623000677145534
Daniella Karagach (Rumer Willis week 9),-0.07539241570470846,0.132012941468396,11,0.9457337370406796,-0.07130115104893836
Peta Murgatroyd,-0.07465391556478403,2.8909315853870874,101,0.9937894974103976,-0.07419027722884497
Emma Slater,-0.07567439595662548,0.1806817973948093,99,0.9936648275521206,-0.07519498560835115
Edyta Sliwinska,-0.09856898967057849,0.27340056276743974,58,0.9892347262440231,-0.09750786751292466
Ezra Sosa (Apolo Anton Ohno week 9),-0.10795942868888986,0.13201294146839626,11,0.9457337370406796,-0.10210087394272056
Daniella Karagach,-0.11217001192733674,0.13122005181170096,44,0.9858578531659922,-0.11058368714828792
Anna Trebunskaya,-0.1219651768611713,0.2233080997632258,54,0.9884465116298871,-0.12055605360874698
Louis van Amstel,-0.12594196127166835,2.6792876082415824,65,0.9903829139724091,-0.12473076659563519
Jonathan Roberts,-0.1286991828858542,0.35023950545083055,28,0.9779547788349616,-0.12586198093537582
Fabian Sanchez,-0.14316843964214834,0.04801672276654804,6,0.9048162403500946,-0.1295411292937981
Lacey Schwimmer,-0.13966174826528938,0.27299001631143466,41,0.9848387506621128,-0.1375443016768741
Gleb Savchenko,-0.14283023311004672,1.8691848442379833,75,0.9916544908454901,-0.14163824209208603
Ashly DelGrosso,-0.1494454847255338,4.404095814569131,15,0.9596204072705662,-0.1434109369170639
Alan Bersten,-0.14659348528736907,3.805175418271019,62,0.9899222607042565,-0.14511615436018854
Jan Ravnik,-0.15984565015746302,0.0596147667462363,7,0.9172892459379229,-0.14662469589939628
Jesse DeSoto,-0.20862218687451772,0.012293395844047483,2,0.7601150280732786,-0.1585768594328328
Chelsie Hightower,-0.17984397252101292,0.30370150060127016,43,0.9855337238024602,-0.17724229994206117
Rylee Arnold,-0.18757212932771403,0.0923008476305253,24,0.9743747277730647,-0.18276554245150545
Elena Grinenko,-0.2861617731550359,0.2558194129382611,6,0.9048162403500946,-0.25892381971805617
Inna Brayer,-0.4225064957638427,,1,0.6130528599698216,-0.2590188155838511
Nick Kosovich,-0.3878227839114234,0.06284187839512058,6,0.9048162403500946,-0.35090835326084124
Andrea Hale,-0.6210592450516117,,1,0.6130528599698216,-0.3807421463895888
Brian Fortuna,-0.7278682100049837,0.023204558733949596,3,0.8261775545679522,-0.6013483777896701
Ezra Sosa,-0.8133200847421982,0.012293395844047483,2,0.7601150280732786,-0.6182168190463773
