season,celebrity,week,fan_vote_est,judges_score,eliminated,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,age_z,week_cat,season_cat,celebrity_industry_consolidated,country_norm,is_us
1,Evander Holyfield,1,437.66860485019566,18.0,False,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.4442937199561859,1,1,Athlete,UNITED STATES,1
1,Joey McIntyre,1,1061.1523750683607,20.0,False,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.33275859161852656,1,1,Singer/Rapper,UNITED STATES,1
1,John O'Hurley,1,2516.8088727094564,20.0,False,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,1.0659355692159558,1,1,Actor/Actress,UNITED STATES,1
1,Kelly Monaco,1,2356.1067120571406,13.0,False,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,-0.5658742850909403,1,1,Actor/Actress,UNITED STATES,1
1,Rachel Hunter,1,2462.763757292308,20.0,False,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.09964289814611284,1,1,Model,NEW ZEALAND,0
1,Trista Sutter,1,1165.4996780225383,18.0,False,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.33275859161852656,1,1,TV Personality,UNITED STATES,1
1,Evander Holyfield,2,1472.4447583206452,14.0,False,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.4442937199561859,2,1,Athlete,UNITED STATES,1
1,Joey McIntyre,2,1080.1015816089905,21.0,False,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.33275859161852656,2,1,Singer/Rapper,UNITED STATES,1
1,John O'Hurley,2,1453.3773773690132,26.0,False,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,1.0659355692159558,2,1,Actor/Actress,UNITED STATES,1
1,Kelly Monaco,2,2691.069234695101,17.0,False,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,-0.5658742850909403,2,1,Actor/Actress,UNITED STATES,1
1,Rachel Hunter,2,2470.9238594681105,24.0,False,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.09964289814611284,2,1,Model,NEW ZEALAND,0
1,Trista Sutter,2,832.0831885381382,19.0,True,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.33275859161852656,2,1,TV Personality,UNITED STATES,1
1,Evander Holyfield,3,1098.7287237458986,13.0,True,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.4442937199561859,3,1,Athlete,UNITED STATES,1
1,Joey McIntyre,3,1087.6750065166025,22.0,False,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.33275859161852656,3,1,Singer/Rapper,UNITED STATES,1
