season,celebrity,week,fan_vote_est,judge_score,eliminated
1,Evander Holyfield,1,437.6686049,18,FALSE
1,Joey McIntyre,1,1061.152375,20,FALSE
1,John O'Hurley,1,2516.808873,20,FALSE
1,Kelly Monaco,1,2356.106712,13,FALSE
1,Rachel Hunter,1,2462.763757,20,FALSE
1,Trista Sutter,1,1165.499678,18,FALSE
1,Evander Holyfield,2,1472.444758,14,FALSE
1,Joey McIntyre,2,1080.101582,21,FALSE
1,John O'Hurley,2,1453.377377,26,FALSE
1,Kelly Monaco,2,2691.069235,17,FALSE
1,Rachel Hunter,2,2470.923859,24,FALSE
1,Trista Sutter,2,832.0831885,19,TRUE
1,Evander Holyfield,3,1098.728724,13,TRUE
1,Joey McIntyre,3,1087.675007,22,FALSE
1,John O'Hurley,3,2207.037231,24,FALSE
1,Kelly Monaco,3,3112.973023,21,FALSE
1,Rachel Hunter,3,2493.586016,26,FALSE
1,Joey McIntyre,4,2640.182676,20,FALSE
1,John O'Hurley,4,2581.25073,21,FALSE
1,Kelly Monaco,4,2544.183419,26,FALSE
1,Rachel Hunter,4,2234.383175,25,TRUE
1,Joey McIntyre,5,2255.099974,22.5,FALSE
1,John O'Hurley,5,3565.644561,27,FALSE
1,Kelly Monaco,5,4179.255465,23.5,FALSE
1,John O'Hurley,6,4498.384338,27,FALSE
1,Kelly Monaco,6,5501.615662,27.5,FALSE
2,Drew Lachey,1,1966.916521,24,FALSE
2,George Hamilton,1,1103.70678,18,FALSE
2,Giselle Fernandez,1,1102.840854,23,FALSE
2,Jerry Rice,1,672.3051643,21,FALSE
2,Kenny Mayne,1,147.0031417,13,TRUE
2,Lisa Rinna,1,1056.205098,19,FALSE
2,Master P,1,269.326861,12,FALSE
2,Stacy Keibler,1,2004.526048,22,FALSE
2,Tatum O'Neal,1,708.9489621,23,FALSE
2,Tia Carrere,1,968.2205704,20,FALSE
2,Drew Lachey,2,2163.577018,27,FALSE
2,George Hamilton,2,915.2023187,22,FALSE
2,Giselle Fernandez,2,1046.141517,24,FALSE
2,Jerry Rice,2,546.5317622,23,FALSE
2,Lisa Rinna,2,1205.112808,20,FALSE
2,Master P,2,618.2178183,16,FALSE
2,Stacy Keibler,2,2026.403385,29,FALSE
2,Tatum O'Neal,2,517.9656341,17,TRUE
2,Tia Carrere,2,960.8477383,22,FALSE
2,Drew Lachey,3,2419.65619,27,FALSE
2,George Hamilton,3,833.9779048,22,FALSE
2,Giselle Fernandez,3,792.9328709,22,TRUE
2,Jerry Rice,3,1104.748952,19,FALSE
2,Lisa Rinna,3,824.7955952,25,FALSE
2,Master P,3,902.7128781,14,FALSE
2,Stacy Keibler,3,2089.227649,27,FALSE
2,Tia Carrere,3,1031.94796,26,FALSE
2,Drew Lachey,4,2736.584262,28,FALSE
2,George Hamilton,4,808.9358899,21,FALSE
2,Jerry Rice,4,964.2617615,24,FALSE
2,Lisa Rinna,4,1230.598498,26,FALSE
2,Master P,4,565.6075437,8,TRUE
2,Stacy Keibler,4,2506.814522,26,FALSE
2,Tia Carrere,4,1187.197522,25,FALSE
2,Drew Lachey,5,2955.855691,27,FALSE
2,George Hamilton,5,893.3599433,24,FALSE
2,Jerry Rice,5,936.1054625,23,FALSE
2,Lisa Rinna,5,1401.819293,25,FALSE
2,Stacy Keibler,5,2904.856316,30,FALSE
2,Tia Carrere,5,908.0032941,22,TRUE
2,Drew Lachey,6,3310.136474,30,FALSE
2,George Hamilton,6,898.7196035,23,TRUE
2,Jerry Rice,6,961.4854,23,FALSE
2,Lisa Rinna,6,1567.365317,27,FALSE
2,Stacy Keibler,6,3262.293205,30,FALSE
2,Drew Lachey,7,3559.86007,27.5,FALSE
2,Jerry Rice,7,2211.149927,20.5,FALSE
2,Lisa Rinna,7,2020.574186,26.5,TRUE
2,Stacy Keibler,7,2208.415817,27.5,FALSE
2,Drew Lachey,8,4301.580183,28.9998,FALSE
2,Jerry Rice,8,2164.176871,26.6666,FALSE
2,Stacy Keibler,8,3534.242945,28.6665,FALSE
3,Emmitt Smith,1,1151.772139,24,FALSE
3,Harry Hamlin,1,596.4701461,17,FALSE
3,Jerry Springer,1,275.0859447,16,FALSE
3,Joey Lawrence,1,1355.462285,21,FALSE
3,Mario Lopez,1,1523.139291,26,FALSE
3,Monique Coleman,1,1379.113372,19,FALSE
3,Sara Evans,1,440.9895973,15,FALSE
3,Shanna Moakler,1,662.5324321,18,FALSE
3,Tucker Carlson,1,103.988308,12,TRUE
3,Vivica A. Fox,1,1261.507853,22,FALSE
3,Willa Ford,1,1249.938632,22,FALSE
3,Emmitt Smith,2,1265.806996,24,FALSE
3,Harry Hamlin,2,670.2406623,21,FALSE
3,Jerry Springer,2,342.8598281,19,FALSE
3,Joey Lawrence,2,1444.547695,29,FALSE
3,Mario Lopez,2,1665.574566,21,FALSE
3,Monique Coleman,2,1454.151342,26,FALSE
3,Sara Evans,2,494.4228828,21,FALSE
3,Shanna Moakler,2,1,22,TRUE
3,Vivica A. Fox,2,1328.716197,24,FALSE
3,Willa Ford,2,1332.679831,23,FALSE
3,Emmitt Smith,3,1418.560116,19,FALSE
3,Harry Hamlin,3,1,22,TRUE
3,Jerry Springer,3,388.4518876,21,FALSE
3,Joey Lawrence,3,1533.104489,22,FALSE
3,Mario Lopez,3,1883.965174,22,FALSE
3,Monique Coleman,3,1504.033177,27,FALSE
3,Sara Evans,3,502.5308406,25,FALSE
3,Vivica A. Fox,3,1368.167008,27,FALSE
3,Willa Ford,3,1400.187308,22,FALSE
3,Emmitt Smith,4,1724.739583,24,FALSE
3,Jerry Springer,4,523.6486442,22,FALSE
3,Joey Lawrence,4,1733.003069,27,FALSE
3,Mario Lopez,4,2277.919684,29,FALSE
3,Monique Coleman,4,1625.976288,24,FALSE
3,Sara Evans,4,570.5177065,20,FALSE
3,Vivica A. Fox,4,1,24,TRUE
3,Willa Ford,4,1543.195025,28,FALSE
3,Emmitt Smith,5,2126.487286,27,FALSE
3,Jerry Springer,5,703.4063666,24,FALSE
3,Joey Lawrence,5,1978.23453,25,FALSE
3,Mario Lopez,5,2767.335756,27,FALSE
3,Monique Coleman,5,1767.022671,27,FALSE
3,Sara Evans,5,656.5133902,24,TRUE
3,Willa Ford,5,1,27,TRUE
3,Emmitt Smith,6,2405.332777,25,FALSE
3,Jerry Springer,6,720.695955,18,FALSE
3,Joey Lawrence,6,2038.917116,24,FALSE
3,Mario Lopez,6,3119.230533,28,FALSE
3,Monique Coleman,6,1715.82362,23,FALSE
3,Emmitt Smith,7,2591.876037,28.5,FALSE
3,Jerry Springer,7,619.9691188,23,TRUE
3,Joey Lawrence,7,1925.095002,28.5,FALSE
3,Mario Lopez,7,3347.524896,28,FALSE
3,Monique Coleman,7,1515.534946,27,FALSE
3,Emmitt Smith,8,2952.292854,27,FALSE
3,Joey Lawrence,8,1884.835121,27,FALSE
3,Mario Lopez,8,3722.635112,28.5,FALSE
3,Monique Coleman,8,1440.236913,26.5,TRUE
3,Emmitt Smith,9,3602.157489,29.5,FALSE
3,Joey Lawrence,9,2030.365936,29.5,FALSE
3,Mario Lopez,9,4367.476575,29.5,FALSE
3,Emmitt Smith,10,4621.955654,29.6666,FALSE
3,Mario Lopez,10,5378.044346,29.6666,FALSE
4,Apolo Anton Ohno,1,1554.606888,21,FALSE
4,Billy Ray Cyrus,1,557.0482954,13,FALSE
4,Clyde Drexler,1,145.2643904,16,FALSE
4,Heather Mills,1,1067.044603,18,FALSE
4,Ian Ziering,1,1186.956513,21,FALSE
4,Joey Fatone,1,1561.958259,24,FALSE
4,John Ratzenberger,1,512.1147782,17,FALSE
