season,adjusted_score_1,adjusted_score_2,adjusted_score_3,combined_score_1,combined_score_2,combined_score_3
1,1.0,1.0,1.0,1.0,1.0,1.0
2,0.7142857142857143,1.0,1.0,0.7142857142857143,1.0,1.0
3,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.8571428571428571
4,0.5,1.0,1.0,0.5,1.0,1.0
5,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0
6,0.875,1.0,1.0,0.875,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0
8,0.5555555555555556,1.0,1.0,0.5555555555555556,1.0,1.0
9,0.7777777777777778,1.0,1.0,0.7777777777777778,0.8888888888888888,1.0
10,0.75,0.875,1.0,0.75,0.875,1.0
11,0.5555555555555556,0.8888888888888888,1.0,0.5555555555555556,0.8888888888888888,1.0
12,0.75,1.0,1.0,0.75,1.0,1.0
13,0.7777777777777778,0.8888888888888888,1.0,0.7777777777777778,0.8888888888888888,1.0
14,0.875,1.0,1.0,0.875,1.0,1.0
15,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.8571428571428571
16,1.0,1.0,1.0,1.0,1.0,1.0
17,0.5555555555555556,0.8888888888888888,1.0,0.5555555555555556,0.8888888888888888,1.0
18,0.2857142857142857,0.8571428571428571,1.0,0.2857142857142857,0.8571428571428571,1.0
19,0.6,0.9,0.9,0.6,0.9,0.9
20,0.5,0.75,1.0,0.5,0.75,1.0
21,0.5714285714285714,0.7142857142857143,1.0,0.5714285714285714,0.7142857142857143,1.0
22,0.8571428571428571,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,1.0
23,0.6666666666666666,0.8888888888888888,1.0,0.6666666666666666,0.8888888888888888,1.0
24,0.625,0.875,0.875,0.625,0.875,0.875
25,0.75,1.0,1.0,0.625,1.0,1.0
26,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0
27,0.1428571428571428,0.8571428571428571,1.0,0.1428571428571428,0.8571428571428571,1.0
28,0.4285714285714285,0.5714285714285714,1.0,0.4285714285714285,0.5714285714285714,1.0
29,0.6666666666666666,1.0,1.0,0.7777777777777778,1.0,1.0
30,0.875,1.0,1.0,0.875,0.875,1.0
31,0.4444444444444444,1.0,1.0,0.4444444444444444,1.0,1.0
32,0.3333333333333333,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.6666666666666666,1.0
33,0.3333333333333333,0.5,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.8333333333333334
34,0.25,0.625,0.875,0.25,0.625,0.875
