season,week,n,w_judge_mean,w_judge_std,w_fan_mean,w_fan_std
1,1,6,,,,
1,2,6,,,,
1,3,5,,,,
1,4,4,,,,
1,5,3,,,,
1,6,2,,,,
2,1,10,0.4260842453696475,0.030564783802862937,0.5739157546303525,0.030564783802862924
2,2,9,,,,
2,3,8,,,,
2,4,7,,,,
2,5,6,,,,
2,6,5,,,,
2,7,4,,,,
2,8,3,,,,
3,1,11,0.47234388872134714,0.043713887357866424,0.527656111278653,0.04371388735786638
3,2,10,0.5770319157853228,0.08963117025822018,0.4229680842146773,0.0896311702582202
3,3,9,,,,
3,4,8,,,,
3,5,7,,,,
3,6,5,,,,
3,7,5,,,,
3,8,4,,,,
3,9,3,,,,
3,10,2,,,,
4,1,11,0.47907540632717327,0.07649993540652152,0.5209245936728266,0.07649993540652152
4,2,11,0.5434379736333608,0.13817680722334255,0.4565620263666393,0.13817680722334255
4,3,10,0.41283134818548406,0.069130358156057,0.5871686518145159,0.06913035815605698
4,4,9,,,,
4,5,8,,,,
4,6,7,,,,
4,7,6,,,,
4,8,5,,,,
4,9,4,,,,
4,10,3,,,,
5,1,12,0.42745813094047624,0.040657035327985806,0.5725418690595238,0.04065703532798583
5,2,11,0.4407337945308214,0.06256126990034314,0.5592662054691786,0.06256126990034315
5,3,10,0.4480929014794267,0.020337992088235522,0.5519070985205733,0.020337992088235553
5,4,9,,,,
5,5,8,,,,
5,6,7,,,,
5,7,6,,,,
5,8,5,,,,
5,9,4,,,,
5,10,3,,,,
6,1,12,0.5227139735601312,0.06389212292437489,0.47728602643986884,0.06389212292437493
6,2,12,0.4739320259088501,0.044685873631343145,0.5260679740911499,0.04468587363134315
6,3,10,0.5822157992281964,0.10137078406407382,0.4177842007718036,0.10137078406407381
6,4,9,,,,
6,5,8,,,,
6,6,7,,,,
6,7,6,,,,
6,8,5,,,,
6,9,4,,,,
6,10,3,,,,
7,1,13,0.3647754185106633,0.06964511942620817,0.6352245814893368,0.06964511942620816
7,2,11,0.42653008392258435,0.03788782779313036,0.5734699160774157,0.03788782779313034
7,3,9,,,,
7,4,9,,,,
7,5,8,,,,
7,6,7,,,,
7,7,6,,,,
7,8,5,,,,
7,9,4,,,,
7,10,3,,,,
8,1,13,0.4739863298187904,0.05093664458418997,0.5260136701812096,0.05093664458418997
8,2,13,0.5000896230925935,0.09887729664053542,0.4999103769074066,0.09887729664053543
8,3,12,0.4317516203494057,0.07327053417035057,0.5682483796505944,0.07327053417035055
8,4,11,0.4709449375140865,0.0501438704783987,0.5290550624859135,0.050143870478398744
8,5,9,,,,
8,6,8,,,,
8,7,7,,,,
8,8,6,,,,
8,9,5,,,,
8,10,4,,,,
8,11,3,,,,
9,1,16,0.4984458571036748,0.024436806220171487,0.5015541428963252,0.02443680622017148
9,2,14,0.6302874488603282,0.041274605257239944,0.36971255113967183,0.04127460525723994
9,3,13,0.4774100642147344,0.023942894797990794,0.5225899357852656,0.02394289479799079
9,4,11,0.5794391992619708,0.08337163495548891,0.42056080073802915,0.0833716349554889
9,5,10,0.5562786501133324,0.06328511029429179,0.44372134988666756,0.06328511029429179
9,6,9,,,,
9,7,7,,,,
9,8,5,,,,
9,9,4,,,,
9,10,3,,,,
10,1,11,0.5095954780407138,0.03043904559950969,0.4904045219592862,0.030439045599509697
10,2,11,0.43187811365987133,0.057002415361814274,0.5681218863401286,0.0570024153618143
10,3,10,0.3953763323889861,0.022445380836437084,0.6046236676110138,0.022445380836437108
10,4,9,,,,
10,5,8,,,,
10,6,7,,,,
10,7,6,,,,
10,8,5,,,,
10,9,4,,,,
10,10,3,,,,
11,1,12,0.563527192572108,0.030407001836319433,0.43647280742789196,0.030407001836319458
11,2,11,0.3488089473577578,0.08511305539040925,0.6511910526422422,0.08511305539040927
